sentence_id,formality_score_from_raters,informativeness,implicature_score,length_in_words,length_in_characters,f_score,i_score,lexical_density,sentence_content,total_syllables_stop_words_excluded,total_syllables_per_word_stop_words_excluded,total_syllables_stop_words_included,total_syllables_per_word_stop_words_included,number_of_nouns,number_of_adjectives,number_of_adverbs,number_of_verbs,number_of_pronouns,number_of_stop_words,proportion_of_stop_words,number_of_spelling_and_grammatical_errors,spelling_and_grammar_errors_per_character,positive_vader_score,negative_vader_score,neutral_vader_score,compound_vader_score
6844,5.2,4.2,3.2,34,179,58.82352941,4.823529412,52.94117647,"""With a young family and responsibilities at City Hall, I have found it impossible to commit the time required to complete this effort the way it needs to - and should be - done.""",36,2.0,52,1.5294117647058822,7,2,0,8,3,17,0.5,0,0.0,0.071,0.0,0.929,0.296
6845,5.6,5.2,4.4,29,179,63.79310345,3.965517241,72.4137931,"""With Blair and Juncker polarising opinion, most received wisdom is that Dutch Prime Minister Jan Peter Balkenende is the man who could emerge as the compromise choice,"" he wrote.",42,2.210526315789474,52,1.793103448275862,13,2,0,5,1,11,0.379,2,0.011,0.116,0.0,0.884,0.5688
6846,5.4,5.2,3.2,45,259,75.55555556,6.177777778,64.44444444,"With Democrats poised to lose the governor's race in Virginia, and to possibly lose the governor's race in New Jersey and a special election for a House seat in New York, the White House has started insisting any pending losses will not have any significance.",52,2.08,74,1.6444444444444444,17,1,2,8,0,20,0.444,0,0.0,0.091,0.192,0.717,-0.6386
6847,4.6,4.8,3.6,34,202,73.52941176,6.705882353,64.70588235,"Within the past two weeks, Maoists have burned two schools in Jharkhand, hijacked and later released a passenger train in West Bengal while also carrying out a raid against a West Bengal police station.",40,1.7391304347826086,53,1.5588235294117647,13,1,2,5,0,11,0.324,0,0.0,0.0,0.0,1.0,0.0
6848,3.0,4.2,4.4,9,50,38.88888889,6.777777778,55.55555556,With Koquerer popping up I assume you have Kubuntu,11,2.75,16,1.7777777777777777,1,0,0,4,2,5,0.556,2,0.04,0.0,0.0,1.0,0.0
6849,3.2,4.0,5.0,14,80,50.0,7.5,71.42857143,"""With one phone call they could have brought the whole thing down,"" Atkins said.",15,1.3636363636363635,18,1.2857142857142858,4,1,0,3,1,5,0.357,0,0.0,0.0,0.0,1.0,0.0
6850,4.4,4.8,4.6,26,156,71.15384615,5.884615385,73.07692308,"""Without a doubt, more time is going to result in more bold policy initiatives,"" said Eric Jaye, Newsom's longtime strategist who left the campaign in July.",33,1.9411764705882353,42,1.6153846153846154,10,4,0,5,0,9,0.346,1,0.006,0.179,0.0,0.821,0.6128
6851,5.6,5.2,4.8,33,209,65.15151515,4.03030303,60.60606061,"Without alerting the press to what most politicians would view as an extraordinary photo op, he quietly stopped by Kennedy's grave at Arlington National Cemetery and paid brief respects to his longtime mentor.",48,2.2857142857142856,60,1.8181818181818181,12,3,1,4,2,12,0.364,0,0.0,0.062,0.122,0.815,-0.296
6852,2.8,3.6,3.8,19,111,55.26315789,6.578947368,68.42105263,"""Without somebody sitting at the table, there's really not a go-to person to see what makes sense,"" Grant said.",25,1.9230769230769231,31,1.631578947368421,5,1,2,5,0,7,0.368,0,0.0,0.128,0.0,0.872,0.3612
6853,4.8,4.6,3.6,12,86,66.66666667,2.583333333,58.33333333,"With pigeons, he developed the ideas of ""operant conditioning"" and ""shaping behavior.""",20,2.857142857142857,25,2.0833333333333335,4,2,0,1,1,5,0.417,0,0.0,0.0,0.0,1.0,0.0
6854,5.2,5.2,4.8,32,203,81.25,6.59375,62.5,"With police officers dying in large numbers and Maoists carrying out bolder attacks, the debate around the insurgency has sharpened in India's intellectual salons and on the opinion pages and talk shows.",46,2.3,58,1.8125,14,2,0,4,0,12,0.375,0,0.0,0.147,0.078,0.775,0.3818
6855,6.6,6.2,3.6,31,201,90.32258065,4.903225806,61.29032258,"With reports emerging over the frontrunners for the permanent position of EU president, a new contender has emerged in the international media in the shape of Sweden's Prime Minister Fredrik Reinfeldt.",45,2.5,59,1.903225806451613,13,3,0,3,0,13,0.419,1,0.005,0.049,0.0,0.951,0.128
6856,3.0,4.2,4.6,10,50,60.0,3.2,50.0,"With that said, have you looked at the SMP kernel?",6,1.5,12,1.2,2,0,0,3,1,6,0.6,0,0.0,0.0,0.0,1.0,0.0
6857,4.2,3.8,3.8,28,142,64.28571429,4.464285714,35.71428571,"With that said, the first four or five races -- and really as many as the first seven or eight -- remain hard to distinguish from one another.",27,1.588235294117647,38,1.3571428571428572,1,4,2,3,0,11,0.393,0,0.0,0.0,0.049,0.951,-0.1027
6858,3.6,3.8,3.8,27,152,74.07407407,5.222222222,62.96296296,"With the advent of Android, people began to wonder if Google would build a killer piece of hardware that would finally give the iPhone a true challenge.",33,1.9411764705882353,43,1.5925925925925926,9,1,1,4,0,10,0.37,0,0.0,0.135,0.141,0.724,-0.296
6859,6.2,6.2,4.6,43,289,84.88372093,3.76744186,55.81395349,"With the delinking of Justice Dinakaran's name from the original list, the government would start meeting the requirements under the memorandum of procedure for appointment of judges to the Supreme Court, which at present has seven vacancies considerably increasing the workload on judges.",63,2.625,83,1.930232558139535,17,1,1,4,0,19,0.442,1,0.003,0.189,0.0,0.811,0.8519
6860,4.6,5.4,3.2,35,226,61.42857143,5.228571429,65.71428571,"With the government offensive drawing closer, the people who feel most at risk are the tribal villagers who live in the forests of Chattisgarh, where the police and Maoists, sometimes called Naxalites, are already skirmishing.",46,2.4210526315789473,65,1.8571428571428572,10,2,4,7,0,16,0.457,2,0.009,0.0,0.14,0.86,-0.6573
6861,2.8,5.2,4.0,36,193,58.33333333,5.25,61.11111111,With the live cd it sees a U3 (Unknown) card and everything works; with the installed system it sees the card correctly but it can't start gdm and there is not possible way to understand why...,33,1.65,50,1.3888888888888888,10,3,4,5,3,17,0.472,4,0.021,0.0,0.0,1.0,0.0
6862,5.0,5.6,4.6,31,172,77.41935484,4.419354839,48.38709677,"With the Monday deadline for his contract extension looming, Rondo handed out 16 assists, and in the third quarter he had the helper on nine of the Celtics' 15 field goals.",30,1.7647058823529411,44,1.4193548387096775,12,1,0,2,2,14,0.452,0,0.0,0.073,0.046,0.881,0.2263
6863,5.4,4.4,4.0,16,96,71.875,3.1875,62.5,"With water temperatures in the 60s, Farris estimated that survivability could be up to 20 hours.",23,2.5555555555555554,30,1.875,5,0,1,2,0,7,0.438,1,0.01,0.0,0.0,1.0,0.0
6864,3.0,3.6,4.6,7,46,64.28571429,3.428571429,71.42857143,Women are more than their reproductive organs.,9,3.0,14,2.0,2,2,0,1,1,4,0.571,0,0.0,0.0,0.0,1.0,0.0
6865,4.0,5.4,5.4,10,65,65.0,4.0,70.0,"Women, especially conservative women, are chewed up by the media.",17,2.8333333333333335,22,2.2,3,1,1,2,0,4,0.4,0,0.0,0.0,0.0,1.0,0.0
6866,4.6,5.8,4.6,28,159,58.92857143,5.321428571,67.85714286,Women invited for screening by the National Health Service will be told that some of the cancers detected will be dormant and may never spread to other tissue.,28,2.0,43,1.5357142857142858,7,2,1,6,0,14,0.5,0,0.0,0.0,0.0,1.0,0.0
6867,1.0,1.4,5.6,1,14,100.0,0.0,100.0,WOOOHOOOO!!!!!,2,2.0,2,2.0,1,0,0,0,0,0,0.0,1,0.071,0.0,0.0,1.0,0.0
6868,3.8,4.2,4.2,19,110,60.52631579,5.526315789,63.15789474,"Workers did agree to time off reductions, and pledged that new employees will have to pay into their pensions.",16,1.7777777777777777,27,1.4210526315789473,5,1,0,5,1,10,0.526,0,0.0,0.12,0.067,0.813,0.2732
6869,4.8,5.0,3.4,25,138,76.0,7.64,64.0,Workers finally began testing a patch on the closed Bay Bridge on Saturday night after days of struggling to fix a cracked piece of steel.,28,1.75,38,1.52,9,2,1,4,0,9,0.36,0,0.0,0.0,0.113,0.887,-0.4215
6870,4.8,4.4,3.2,14,82,71.42857143,6.285714286,71.42857143,Workers test the patch by slowly tightening steel rods that keep the brace secure.,17,1.7,21,1.5,6,0,1,3,0,4,0.286,0,0.0,0.156,0.0,0.844,0.34
6871,2.0,3.0,3.8,3,17,100.0,14.66666667,66.66666667,work fine though.,3,1.0,3,1.0,1,1,0,0,0,0,0.0,1,0.059,0.474,0.0,0.526,0.2023
6872,2.2,3.2,5.0,6,30,100.0,11.0,50.0,Works like a charm every time:,8,1.6,9,1.5,3,0,0,0,0,1,0.167,0,0.0,0.634,0.0,0.366,0.6369
6873,2.8,3.6,4.0,2,16,0.0,19.0,100.0,Works perfectly.,4,2.0,4,2.0,0,0,1,1,0,0,0.0,0,0.0,0.808,0.0,0.192,0.6369
6874,4.2,5.0,4.8,22,127,70.45454545,4.318181818,59.09090909,"Worse is the dreaded bono, a rogue wall of water that rumbles up from the nearby ocean, overturning boats and claiming victims.",26,2.0,35,1.5909090909090908,7,3,0,4,0,9,0.409,1,0.008,0.0,0.336,0.664,-0.8442
6875,1.8,1.8,4.4,7,44,71.42857143,1.571428571,57.14285714,Would appreciate any pointers from the wise.,9,2.25,13,1.8571428571428572,2,0,0,1,0,3,0.429,0,0.0,0.537,0.0,0.463,0.7003
6876,2.6,2.8,3.6,14,65,57.14285714,4.642857143,57.14285714,"Would it also be possible to get rid of the ""sudo"" in the umount?",12,1.7142857142857142,19,1.3571428571428572,2,2,1,2,1,7,0.5,1,0.015,0.0,0.0,1.0,0.0
6877,3.4,4.2,5.4,13,62,50.0,8.076923077,53.84615385,would it be possible to set up a mythtv box using my sawtooth?,11,1.5714285714285714,17,1.3076923076923077,3,1,0,3,2,6,0.462,3,0.048,0.0,0.0,1.0,0.0
6878,1.4,2.2,3.6,10,47,50.0,3.9,60.0,* would like water sports / golf / cycling etc.,12,1.2,12,1.2,6,0,1,2,0,0,0.0,0,0.0,0.294,0.0,0.706,0.3612
6879,2.4,3.8,4.4,16,77,43.75,5.125,68.75,Wouldn't want to be stuck with immigration when I only plan for a 1 day trip.,10,1.4285714285714286,20,1.25,4,0,3,3,1,8,0.5,1,0.013,0.0,0.227,0.773,-0.3009
6880,1.4,3.0,4.6,14,62,50.0,4.071428571,64.28571429,* would quite like a tiny bit of pampering - so not camping ;),15,1.5,19,1.3571428571428572,2,1,2,3,0,4,0.286,0,0.0,0.204,0.141,0.656,0.2176
6881,1.4,2.6,3.8,5,24,40.0,6.8,40.0,would that work for you?,3,1.0,5,1.0,1,0,0,0,1,3,0.6,1,0.042,0.0,0.0,1.0,0.0
6882,4.4,3.0,4.0,7,34,14.28571429,1.714285714,42.85714286,Would you please repeat it for me.,6,1.5,9,1.2857142857142858,0,0,0,2,3,4,0.571,1,0.029,0.277,0.0,0.723,0.3182
6883,1.6,3.6,4.2,7,39,57.14285714,9.0,42.85714286,W/out these you will run into problems.,4,1.3333333333333333,10,1.4285714285714286,1,0,0,1,1,4,0.571,0,0.0,0.0,0.31,0.69,-0.4019
6884,1.0,1.2,4.0,1,4,0.0,0.0,0.0,Wow!,1,1.0,1,1.0,1,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.6239
6885,4.2,5.6,4.2,32,222,84.375,3.5625,68.75,"Wu also reviewed the NPC's supervisory work this year, especially on the 4-trillion-yuan, two-year stimulus package announced by the central government last November to revive the economy during a global economic slowdown.",56,2.5454545454545454,67,2.09375,10,7,2,3,0,10,0.312,0,0.0,0.074,0.0,0.926,0.34
6886,5.2,6.0,1.8,20,126,90.0,4.35,60.0,"Wu presided over the 11th meeting of the Standing Committee of the 11th National People's Congress (NPC), the top legislature.",27,2.076923076923077,35,1.75,9,1,0,1,0,7,0.35,0,0.0,0.087,0.0,0.913,0.2023
6887,4.8,4.6,4.8,25,144,88.0,4.84,56.0,Wu said the revision was in line with the spirit of the 17th Party congress and the conditions of the country's economic and social development.,28,2.1538461538461537,40,1.6,9,2,0,2,0,12,0.48,0,0.0,0.161,0.0,0.839,0.5267
6888,1.4,1.4,5.0,3,17,83.33333333,0.0,66.66666667,x0rbserver - Ugh.,4,1.3333333333333333,4,1.3333333333333333,1,0,0,0,0,0,0.0,1,0.059,0.0,0.737,0.263,-0.4215
6889,2.6,3.0,5.0,5,24,30.0,2.6,100.0,X doesn't want to start.,3,1.0,5,1.0,1,0,1,3,0,2,0.4,0,0.0,0.0,0.289,0.711,-0.0572
6890,3.2,4.2,2.4,11,67,81.81818182,5.272727273,63.63636364,Xerox develops a silver ink for wearable or throwaway electronics -,19,2.375,22,2.0,4,2,0,1,0,3,0.273,0,0.0,0.0,0.0,1.0,0.0
6891,5.2,6.6,2.6,26,155,67.30769231,4.923076923,73.07692308,"""Xerox researchers have invented a kind of ink that can conduct electricity and be used to put electronic circuits on top of plastics, film, and textiles.""",32,2.1333333333333333,43,1.6538461538461537,10,1,0,6,0,11,0.423,0,0.0,0.07,0.0,0.93,0.2023
6892,1.0,1.2,3.2,3,16,83.33333333,1.0,66.66666667,XMMS FOREVER !!!,5,1.6666666666666667,5,1.6666666666666667,2,0,0,0,0,0,0.0,1,0.062,0.0,0.0,1.0,0.0
6893,2.8,3.4,6.0,5,26,70.0,4.0,80.0,xorg.conf has this to say:,3,1.5,6,1.2,1,0,0,2,0,3,0.6,2,0.077,0.0,0.0,1.0,0.0
6894,2.4,2.0,4.0,12,67,58.33333333,4.166666667,66.66666667,"Xorg periodically jumps and uses alot of my processor, why is this?",15,2.142857142857143,20,1.6666666666666667,4,0,2,2,1,6,0.5,2,0.03,0.0,0.0,1.0,0.0
6895,4.0,4.4,4.4,57,330,70.1754386,5.368421053,68.42105263,"Yahoo CEO Carol Bartz was in fine form this week, telling the crowd assembled for the company's analyst day that after only 14 years, Yahoo had ""somehow got boring,"" declaring its 6 percent operating margin as ""pathetic"" and announcing the start of ""good times"" that will leave those bad old times (hello, Jerry Yang) in the past.",66,1.7837837837837838,89,1.5614035087719298,21,6,2,9,1,20,0.351,1,0.003,0.077,0.077,0.847,0.0
6896,4.0,4.2,5.0,21,92,71.42857143,7.380952381,52.38095238,"Yahoo is a dark horse in the race for the social web, even though it has a lot going for it.",15,1.3636363636363635,25,1.1904761904761905,5,2,1,3,2,11,0.524,1,0.011,0.0,0.0,1.0,0.0
6897,2.6,2.8,4.2,12,72,37.5,5.916666667,75.0,"Yahoo needs to stop talking about being amazing again, and simply amaze.",16,2.0,21,1.75,1,0,2,5,1,5,0.417,0,0.0,0.395,0.119,0.486,0.7269
6898,4.4,5.0,4.2,18,110,83.33333333,4.444444444,72.22222222,"Yahoo still has a lot of creative, skilled people responsible for properties to which many users remain loyal.",25,2.0833333333333335,31,1.7222222222222223,5,5,1,2,0,6,0.333,0,0.0,0.372,0.0,0.628,0.8074
6899,2.8,5.2,3.2,11,66,50.0,3.727272727,72.72727273,"Yan was greeting, waiting tables and probably plating in the back.",13,1.8571428571428572,17,1.5454545454545454,3,0,1,4,0,4,0.364,1,0.015,0.206,0.0,0.794,0.3818
6900,1.0,1.0,3.0,1,5,100.0,0.0,100.0,yeah.,1,1.0,1,1.0,1,0,0,0,0,0,0.0,1,0.2,1.0,0.0,0.0,0.296
6901,1.2,4.0,5.0,39,184,50.0,5.051282051,56.41025641,yeah i also wanna know cause when i click on a movie it goes to totem-and totem needs a xine engien and im to lazy to download it so i always have to right-click and say open with xine,34,1.619047619047619,52,1.3333333333333333,10,5,5,8,2,18,0.462,8,0.043,0.06,0.068,0.872,-0.0772
6902,2.0,4.8,4.2,36,169,52.77777778,6.888888889,50.0,Yeah i just did the update thing but i changed my resolution when i was doing it and me screen wuldnt set back so i had to restart the comp in the middle of the updates.,23,1.7692307692307692,46,1.2777777777777777,10,2,3,7,3,23,0.639,6,0.036,0.049,0.0,0.951,0.1531
6903,1.6,4.0,4.0,15,82,46.66666667,4.4,73.33333333,"Yeah I used Advanced Diary, too, and it won't install in Linux, even through Wine.",16,1.7777777777777777,22,1.4666666666666666,5,0,3,2,2,6,0.4,3,0.037,0.259,0.0,0.741,0.4939
6904,2.2,4.0,4.8,15,70,56.66666667,9.8,46.66666667,yea i ran both of these before and i still keep getting the same error,8,1.3333333333333333,20,1.3333333333333333,3,1,1,4,0,9,0.6,3,0.043,0.0,0.184,0.816,-0.4019
6905,3.0,4.0,3.0,25,147,88.0,5.88,60.0,"Year in, year out, a small delivery truck brings more of the 16,000 sacks to the puzzlers' work space and returns reconstructed dossiers to Berlin.",28,1.6470588235294117,36,1.44,11,2,1,2,0,10,0.4,0,0.0,0.0,0.0,1.0,0.0
6906,3.4,3.0,4.8,11,66,72.72727273,3.818181818,63.63636364,Years from now this may qualify as a pop-culture nostalgia moment:,14,2.3333333333333335,19,1.7272727272727273,2,2,1,1,0,5,0.455,0,0.0,0.0,0.0,1.0,0.0
6907,4.8,4.0,2.8,23,125,60.86956522,6.347826087,56.52173913,"Yee later found out that the deal was in jeopardy and passed the information to Tang, who then tipped his friends and family.",21,1.9090909090909092,33,1.434782608695652,7,0,2,4,1,12,0.522,1,0.008,0.114,0.114,0.772,0.0
6908,4.8,5.2,3.6,11,62,50.0,4.090909091,72.72727273,Yee's lawyer said he is innocent and will contest the charges.,11,1.8333333333333333,16,1.4545454545454546,3,1,0,3,1,5,0.455,1,0.016,0.178,0.156,0.667,0.0772
6909,5.2,5.2,4.6,8,57,56.25,4.75,75.0,Yemen has suffered ecological crises before and survived.,15,3.0,20,2.5,2,1,0,3,0,3,0.375,0,0.0,0.264,0.256,0.48,0.0258
6910,3.6,5.2,4.8,27,165,85.18518519,4.555555556,51.85185185,"Yep: after one of the biggest moves toward budget balance in history, a majority of Republicans, and a plurality of all voters, believed that deficits had increased.",40,2.6666666666666665,53,1.962962962962963,10,1,0,3,0,12,0.444,0,0.0,0.158,0.0,0.842,0.5106
6911,4.8,1.8,2.8,1,4,0.0,0.0,100.0,Yes.,1,1.0,1,1.0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.4019
6912,3.0,4.8,3.8,5,36,20.0,5.2,80.0,"Yes, Plattsburgh is growing rapidly.",8,2.0,9,1.8,1,0,1,2,0,1,0.2,0,0.0,0.595,0.0,0.405,0.5267
6913,5.0,4.6,4.4,31,209,64.51612903,4.709677419,70.96774194,"Yesterday it emerged that Lieutenant Colonel Rupert Thorneloe, the most senior British officer to have died in Afghanistan, had warned his superiors that helicopter operations there were ""not fit for purpose"".",47,2.611111111111111,62,2.0,11,2,2,7,2,14,0.452,0,0.0,0.054,0.212,0.733,-0.7013
6914,3.0,4.8,3.8,20,112,55.0,2.75,50.0,"Yes, there are motorboats and jet skis, but we fished off our site every morning, kayaked and watched the loons.",18,1.6363636363636365,29,1.45,6,0,0,4,2,9,0.45,0,0.0,0.089,0.0,0.911,0.2144
6918,2.4,4.6,4.4,10,61,30.0,4.4,80.0,"Yet, it's exploding with new features, and still really fast.",12,1.7142857142857142,15,1.5,1,1,4,2,1,3,0.3,0,0.0,0.0,0.0,1.0,0.0
3395,2.2,4.6,4.2,20,105,65.0,5.9,60.0,I will spend two nights in Detroit with family and Monday morning we will leave for Niagara Falls at 9am.,19,1.7272727272727273,28,1.4,7,0,0,2,2,9,0.45,0,0.0,0.0,0.062,0.938,-0.0516
3473,5.0,5.2,5.8,17,107,85.29411765,4.764705882,70.58823529,"Karen Derr, a real estate broker aiming for at-large position 1, has a ""passion for Houston neighborhoods.""",25,2.0833333333333335,30,1.7647058823529411,8,2,0,2,0,5,0.294,1,0.009,0.176,0.0,0.824,0.4588
3475,4.6,5.2,4.6,38,197,63.15789474,3.947368421,60.52631579,"Kay Bloom, 78, of Alameda, said she didn't see any oil when she walked on the beach that morning, but she is still upset that a spill could occur less than two years after the Cosco Busan incident.",32,1.5238095238095237,51,1.3421052631578947,11,1,3,7,3,17,0.447,0,0.0,0.0,0.086,0.914,-0.5267
3472,3.0,5.0,4.4,5,26,60.0,8.0,80.0,Kaffeine does crash a lot.,5,1.6666666666666667,7,1.4,2,0,0,2,0,2,0.4,1,0.038,0.0,0.474,0.526,-0.4019
3396,3.0,3.6,3.8,30,139,61.66666667,5.0,46.66666667,"I will use this for sure, but I also wonder if there is any way to map the eject -t command to the keyboard or make an Applet or something?",23,1.7692307692307692,42,1.4,6,2,1,5,2,17,0.567,1,0.007,0.058,0.0,0.942,0.1655
3394,5.4,4.2,5.4,19,105,52.63157895,2.263157895,57.89473684,"""I will not say anything that could [put] any of my British colleagues in a difficult position,"" he said.",19,1.9,29,1.5263157894736843,4,2,1,4,3,10,0.526,0,0.0,0.0,0.128,0.872,-0.3612
3471,2.2,3.8,4.6,15,84,73.33333333,6.0,73.33333333,just trying to help a small school reclaim an old apple from certain untimely death.,16,1.6,21,1.4,3,4,1,3,0,5,0.333,1,0.012,0.244,0.198,0.558,-0.0258
3477,1.6,5.4,4.0,9,55,72.22222222,11.55555556,77.77777778,keep getting 'no acceptable C compiler found at $Path'.,14,1.75,15,1.6666666666666667,3,1,0,3,1,1,0.111,2,0.036,0.219,0.21,0.571,0.0258
3476,3.6,4.8,2.6,6,44,50.0,11.66666667,66.66666667,Keep following the instructions as provided.,10,2.5,12,2.0,1,0,0,3,0,2,0.333,0,0.0,0.0,0.0,1.0,0.0
3397,3.4,4.2,4.2,15,71,66.66666667,3.933333333,53.33333333,I wish I could say the same for the more senior people in the Pentagon.,10,1.6666666666666667,19,1.2666666666666666,2,3,0,2,2,9,0.6,0,0.0,0.184,0.0,0.816,0.4019
3398,2.6,2.6,5.4,11,55,36.36363636,5.545454545,45.45454545,"""I wish they caught me six years ago, eight years ago.""",11,1.2222222222222223,13,1.1818181818181819,2,0,2,2,3,3,0.273,0,0.0,0.213,0.0,0.787,0.4019
3399,4.6,4.6,3.6,22,125,68.18181818,2.363636364,54.54545455,"I, with great sadness, deleted my Ubuntu partition over a year ago because I couldn't connect to the internet with this card.",22,2.0,36,1.6363636363636365,5,2,2,2,3,11,0.5,0,0.0,0.164,0.116,0.72,0.296
3400,2.2,3.8,4.0,28,138,60.71428571,3.5,50.0,"I wonder if, when the data comes off the wireless at a higher rate than the DTE rate, it simply flushes it, causing the pppd to freak out.",26,1.625,38,1.3571428571428572,6,1,2,5,3,15,0.536,1,0.007,0.0,0.104,0.896,-0.4404
3401,4.2,2.4,5.4,9,53,61.11111111,3.222222222,55.55555556,"""I worried every time,"" Madoff said in the interview.",14,2.0,16,1.7777777777777777,3,0,0,2,1,3,0.333,0,0.0,0.0,0.216,0.784,-0.296
3402,4.0,3.6,3.6,14,78,50.0,6.0,42.85714286,"""I worry about them,"" said Mardiana, who, like the brothers, goes by one name.",17,1.5454545454545454,21,1.5,3,0,0,3,2,6,0.429,1,0.013,0.144,0.167,0.69,-0.1027
3403,1.6,3.2,3.6,11,54,59.09090909,2.363636364,54.54545455,I would be very grateful for the info from insiders :),10,2.0,17,1.5454545454545454,2,1,1,1,1,6,0.545,0,0.0,0.44,0.0,0.56,0.7425
3404,2.6,5.4,3.0,28,141,46.42857143,6.178571429,60.71428571,"I would do an install with BootCamp so you can keep you OS X install while you test the Linux waters, or try Parallels and run them together.",23,1.6428571428571428,38,1.3571428571428572,8,0,1,5,5,14,0.5,3,0.021,0.0,0.0,1.0,0.0
3405,3.4,4.4,3.8,26,126,40.38461538,5.615384615,57.69230769,"""I would expect the globe to pick up, because I don't think it can go any lower than it's been during the last year,"" he said.",15,1.25,33,1.2692307692307692,2,2,1,8,5,16,0.615,0,0.0,0.0,0.084,0.916,-0.296
3406,1.8,4.4,4.2,11,58,45.45454545,3.454545455,72.72727273,I would like music and nice but not too formal atmosphere.,11,1.8333333333333333,16,1.4545454545454546,2,2,2,1,1,5,0.455,0,0.0,0.313,0.0,0.687,0.3919
3407,3.6,4.6,3.6,15,71,60.0,4.666666667,60.0,I would like to adapt it to use with a generic external usb hard drive.,16,1.7777777777777777,22,1.4666666666666666,1,4,0,3,2,6,0.4,1,0.014,0.168,0.094,0.738,0.2732
3408,1.4,1.4,2.6,9,40,55.55555556,2.666666667,44.44444444,I would like to Bump this for an answer!,5,1.25,10,1.1111111111111112,1,0,0,2,1,5,0.556,1,0.025,0.285,0.0,0.715,0.4199
3409,3.0,4.0,3.6,15,65,70.0,4.0,46.66666667,I would like to cover Maid of the Mist and the Cave of the Winds?,8,1.1428571428571428,16,1.0666666666666667,4,0,0,2,1,8,0.533,0,0.0,0.161,0.0,0.839,0.3612
3410,3.8,4.0,5.2,9,54,44.44444444,3.666666667,55.55555556,I would like to experience something special with him.,12,2.0,15,1.6666666666666667,1,1,0,2,2,4,0.444,0,0.0,0.464,0.0,0.536,0.6369
